from,to,n_times
"el-Farah, Lutfi","Dubus, Xavier",1
"el-Hassen, Faisal","Smith, Phoebe",1
"Vigil, Roman","Wong, Irena",1
"Young, Keahna","Reed, Kiana",1
"Rickett, Matthew","Running-Rabbit, Michelle",1
"Young, Keahna","Running-Rabbit, Michelle",1
"Stepner, Dylan","al-Darwish, Ibtisaama",3
"Lack, Erin","Benitez-Reyes, Christopher",2
"Yoshimura, Rachael","Banuelos, Adriana",2
"King, Tyler","Hartman, Niki",1
"King, Tyler","Dubus, Xavier",1
"Stogsdill IV, Ethan","Hartman, Niki",1
"Aguirre, Dominic","Farah, Savannah",1
"Rickett, Matthew","Braxton, Dajanae",1
"Martinez, Eduardo","Smith, Savannah",2
"Elcock, Daijha","Vivens, Shawnae",2
"al-Darwish, Ibtisaama","Chu, Joann",3
"Whiteman, Olivia","Zamora, Jesse",3
"el-Allee, Nizaam","Tavares Gomes, Marcus",11
"el-Allee, Nizaam","Cloud, Lauren",2
"Cloud, Lauren","Tavares Gomes, Marcus",2
"Evans, Nahom","Tavares Gomes, Marcus",2
"Cloud, Lauren","Evans, Nahom",2
"Victorino, Meghana","Cloud, Lauren",2
"al-Odeh, Ayyoob","Mckenzie, Andy",1
"al-Can, Mansoor","al-Odeh, Ayyoob",1
"Burnley, Olivia","Mckenzie, Andy",2
"al-Neman, Baasim","Dodson, Blake",1
"Natonabah, Amber","Dodson, Blake",1
"Lor, Sam","Hamner, Ashlee",6
"Landucci, Ashley","Hamner, Ashlee",1
"Young, Keahna","Hernandez, Alberto",2
"Torres, Che","Ortiz, Joshua",7
"Jenkins, Bradley","Ortiz, Joshua",1
"Bird, Stephanie","Silverston, Michaela",2
"Loughridge, Jesse","el-Hussain, Saalih",1
"Loughridge, Jesse","el-Noori, Hudhaifa",1
"Puga-Garcia, Jorge","al-Khalid, Jihaad",2
"Puga-Garcia, Jorge","Braxton, Dajanae",2
"Suarez Martinez, Demetrius","Mccay, Colby",2
"Woody, Caleb","el-Fahs, Uthmaa N",1
"Woody, Caleb","Booker, Gregory",1
"Booker, Gregory","el-Fahs, Uthmaa N",1
"Phillips, Austin","Dolson, Michael",2
"Ali, Lexus","Woodrum, Christopher",2
"Ali, Lexus","Lee, Linda",2
"Ali, Lexus","Kim, Joseph",1
"al-Omer, Faadi","Williams, Kijana",2
"Kalma, Tess","Guerrero-Argumedo, Brian",1
"Kumpf, Jessica","Guerrero-Argumedo, Brian",1
"Guerrero-Argumedo, Brian","Coakley, Jared",1
"al-Shah, Sahla","al-Rad, Kulthum",2
"el-Tahir, Jawhar","Pfingsten, Chanthany",1
"Ngu, Andrew","Jones, Cade",1
"el-Sulaiman, Jameela","Jones, Cade",2
"Zubia, Diego","De Giorgio, David",3
"Davis, Simran","Garcia, Taryn",2
"Vannavong, Lara","al-Samaan, Ayyoob",1
"Vigil, Scheridan","Nguyen, Steven",6
"Nguyen, Steven","Hill, Jasmine",1
"Hill, Jasmine","Rife, Tyray",1
"Vigil, Scheridan","Rife, Tyray",1
"al-Shafi, Noora","Cheung, Yuvorn",1
"Weincek, Zack","al-Shafi, Noora",1
"Nicks, Nicola","Phenna, Rocky",3
"Phillips, Austin","Shackelford, Whitney",1
"Hampton, Yeng","Montgomery, Alicia",2
"Trujillo, Brandon","al-Nour, Jihaad",1
"Thompson, Tylor","Lor, Kevin",1
"Lor, Kevin","Phillips, Austin",2
"Thompson, Tylor","Phillips, Austin",1
"Thompson, Tylor","Woody, Angela",2
"Lor, Kevin","Hayes-Joshua, Trei'Vonne",1
"Thompson, Tylor","Hayes-Joshua, Trei'Vonne",2
"Phillips, Austin","Hayes-Joshua, Trei'Vonne",1
"Woody, Angela","Hayes-Joshua, Trei'Vonne",2
"el-Rashed, Yusri","Hayes-Joshua, Trei'Vonne",1
"el-Rashed, Yusri","Lor, Kevin",1
"el-Rashed, Yusri","Phillips, Austin",1
"Ottosen, Jessica","Snyder, Steven",1
"Snyder, Steven","al-Khalaf, Awda",1
"Vasquez, Kelly","al-Wahab, Raadiya",4
"Portillo, Justin","Romero, Jessica",2
"Fernandez, Dameion","Romero, Jessica",1
"Cordova, Randolph","Contreras, Ariana",2
"Valdo, Brandi","al-Shahidi, Sanaaa",3
"Rickett, Matthew","Madrid, Alberto",1
"Rickett, Matthew","Kim, Joseph",1
"Kim, Joseph","Kane, Timothy",1
"Ishizuki, Gurjot","al-Ishmael, Radwa",2
"Ishizuki, Gurjot","el-Momin, Shaakir",2
"Bennett, Jared","al-Baig, Shahaada",1
"Bundy, Christoffer","el-Majid, Shakoora",1
"el-Parsa, Nawf","Vannavong, Lara",1
"Sun, Mimi","Bell, Travon",1
"Alvarez-Martinon, Heriberto","Bell, Travon",1
"el-Tahir, Jawhar","Sun, Mimi",1
"el-Tahir, Jawhar","Alvarez-Martinon, Heriberto",1
"Stevens, Dana","Barrera, Ganell",1
"al-Sham, Saafiyya","Knighten, Ashanafe",1
"al-Shah, Sahla","Goens, Jurnee",1
"Larry, Sirdushene","Lee, Linda",3
"Vital, Salvador","Gutierrez, Nancy",1
"Allison, Garrett","Vital, Salvador",3
"Andres, Mark","Gomez, Adrianne",2
"Schonher, Katie","Howard, Cora",3
"al-Shahidi, Muneera","el-Hussain, Saalih",10
"Ali, Lexus","Garrett, Kayla",1
"Garcia, Taylor","Garrett, Kayla",2
"Cordova, Henry","Garrett, Kayla",1
"Taylor, Cochise","al-Dawood, Shawqi",1
"Whitebull-Delgado, Sunsiarae","el-Kaber, Naaila",1
"Dubus, Xavier","Colohan, Garrett",1
"Williams, Jeremy","Carter, Joshua",2
"al-Kazi, Tahiyya","Carter, Joshua",2
"Staples, Brian","Apted, Aayush",6
"Gonzalez, David","Evans, Christian",1
"Stodden, Kelsey","Tsegay, Brandon",1
"al-Meer, Jaadallah","Brown, Bria",1
"Shah, Nikki","al-Darwish, Ibtisaama",1
"Shah, Nikki","Ironwing, Tristan",11
"al-Mannan, Jaasim","Kills In Sight, Braedon",1
"Estrada, Alexandrea","Leon, Jimmy",2
"el-Shah, Zahraaa","Mccarty, Benjamin",2
"Bennett, Jared","Kishiyama, Paul",1
"Bennett, Jared","Hasegawa, Akiyoshi",1
"Deleon, Brianna","Hodges, Alexander",1
"Dureja, Regina","Mckay, Samuel",8
"Elliott, Dakota","Nelson, Jonte",13
"Jimenez, Gabriel","Nowalk Jr, Alicia",1
"Gallegos, Bridgett","Mercurio, Aaron",1
"Gallegos, Bridgett","Martinez, Alexandro",1
"Jenkins, Mauriel","Wilson, Monique",1
"Arguello, Bayla","Lehi, Kirsten",2
"Garcia, Ricardo","Pollock, Connor",1
"Donaldson, Armani","el-Noori, Hudhaifa",8
"al-El-Sayed, Mubaaraka","el-Noori, Hudhaifa",2
"el-Abed, Hissa","el-Noori, Hudhaifa",2
"Donaldson, Armani","Gall, Julie",1
"al-El-Sayed, Mubaaraka","Gall, Julie",1
"Miller, Michael","Donaldson, Armani",1
"Miller, Michael","al-El-Sayed, Mubaaraka",1
"al-El-Sayed, Mubaaraka","el-Abed, Hissa",1
"Colohan, Garrett","el-Noori, Hudhaifa",1
"al-El-Sayed, Mubaaraka","Colohan, Garrett",1
"Miller, Michael","Kaufman, Cody",1
"Truong, Sean","al-Salame, Mahbooba",2
"Shorty, Robert","Truong, Sean",1
"Hill, Alyssa","Sanders, Christina",1
"Okita, Mark","al-Shaheed, Haala",1
"Green, Adrien","el-Ayoub, Abyad",1
"Watson, Amanda","Aguirre, Dominic",1
"Manke, Martha","Bundy, Christoffer",2
"Rickett, Matthew","Smith, Chance",1
"Raposa, Dominique","Garcia, Shaana",3
"Cloud, Lauren","Montgomery, Alicia",1
"Brave, Howard","Montgomery, Alicia",1
"Blanco, Ace","Sater, Aaneer",1
"al-Hamad, Tufail","Jones, Jordan",1
"Stuart, Brennan","Lewis, Saygbechee",1
"Topping, Marva","Wallace, Bailey",2
"Montoya, Emma","Lanza, Glen",1
"al-Odeh, Ayyoob","Woodrum, Christopher",2
"Ngu, Andrew","al-Odeh, Ayyoob",2
"Durham, Adam","Steele, Vela",1
"Gilkey, Makeyla","Roubideaux, Christy",1
"Vongphackdy, Amanda","Acosta, Ana",2
"Massey, Tyler","Vongphackdy, Amanda",1
"Smith, Julia","Hodges, Alexander",1
"Macneal, Dallas","Colohan, Garrett",2
"Macneal, Dallas","Gall, Julie",2
"Young, Ashleigh","al-Dawood, Shawqi",1
"Shackelford, Whitney","Plane, Devin",1
"al-Obeid, Zulfa","Pfingsten, Chanthany",1
"al-Obeid, Zulfa","al-Bahri, Abdul Ghafoor",1
"el-Rashed, Yusri","al-Bahri, Abdul Ghafoor",1
"Furman, Dylan","el-Hosein, Thaabita",3
"el-Hosein, Thaabita","Teuton, Anasthasia",2
"Kijprachakorn, Weslie","el-Hosein, Thaabita",2
"Lor, Janice","Schaller, Karl",1
"Lor, Janice","al-Saladin, Masood",2
"Lor, Janice","Coffman, Martin",3
"Sinaloa, Eli","Cox, Josiah",1
"Okita, Mark","el-Ashraf, Humaira",1
"Weincek, Zack","Matuszak, Sarah",1
"Mckay, Samuel","Sweetwater, Jordan",1
"Ackah Yensu, Brandi","Farah, Savannah",2
"Ackah Yensu, Brandi","al-Halim, Jawhar",2
"Mock, Geniveve","Pace, Justin",1
"Fogg, Alangkrita","Naftel, Elaine",1
"Long, Destiny","Hurst, Katelyn",1
"Chavarria, Alexander","Sanders, Christina",2
"Chavarria, Alexander","Kishiyama, Paul",1
"Sims, Alexandrea","al-Shahidi, Muneera",1
"Rhinehart, Eve","al-Shahidi, Muneera",2
"Sims, Alexandrea","Rhinehart, Eve",1
"Sims, Alexandrea","Qiu, Justin",1
"al-Hoque, Nawfa","Riplie Jr, Matthew",1
"Nguyen, Michael","Riplie Jr, Matthew",1
"Martinez, Nicole","el-Majid, Shakoora",2
"Cereceres, Jay","el-Majid, Shakoora",1
"Ngu, Andrew","Flores Diaz, Melissa",2
"Furman, Dylan","Ortiz, Leonel",2
"Dalke, Emily","Pritchett, Erin",1
"Woody, Caleb","Colohan, Garrett",2
"Temple, Deandre","Tsegay, Brandon",2
"Rivera, Jakob","Tsegay, Brandon",2
"al-Akbari, Fawzaana","Temple, Deandre",2
"Nunez, Erick","Nobraid, Shawn",1
"Hill, Alyssa","Wallace, Tyler",1
"al-Sham, Saafiyya","Pace, Justin",1
"Lor, Sam","Pace, Justin",1
"Smith, Alexis","Hartman, Niki",1
"Alger, Kincaid","Hartman, Niki",1
"Alger, Kincaid","Dubus, Xavier",1
"Dubus, Xavier","Smith, Alexis",1
"Portillo, Justin","al-Farid, Haashid",1
"al-Farid, Haashid","el-Jaffer, Ruqayya",5
"al-Khalaf, Wajeeh","Jordan, Shauntaul",1
"Nettles, Jessica","Scaggs, Christopher",2
"al-Idris, Fakeeha","Mckay, Samuel",3
"al-Sheikh, Mahmood","Lee, Sam",3
"al-Sheikh, Mahmood","Wallace, Tyler",3
"Wallace, Tyler","Lee, Sam",5
"Palma, Carmen","Roda, Randy",1
"el-Shah, Zahraaa","Roda, Randy",1
"Little, James","Wilson, Monique",1
"Ali, Lexus","Little, James",1
"Kalma, Tess","Little, James",1
"Juan, Justin","Little, James",2
"Ali, Lexus","Juan, Justin",1
"Babcock, Brittany","Ellis, Gavin",3
"Lobatos Sanchez, Miguel","Merrow, Kassandra",1
"Emert, Taylor","Williams, Jeremy",1
"Smith, Chance","Flores, Jesus",3
"Cobarrubias, William","al-Hallal, Haani",2
"Hodges, Lamont","al-Hallal, Haani",1
"Rudebusch, Nathan","al-Hallal, Haani",2
"Rudebusch, Nathan","Hodges, Lamont",1
"Groesbeck, Kimberly","Fay, Paige",1
"Fay, Paige","Plane, Devin",1
"el-Hussain, Saalih","el-Anwar, Naseera",2
"Romero, Maria","Kaufman, Cody",1
"Romero, Maria","Barela, Jackie",1
"Romero, Maria","Serrano Cano, Jamecia",1
"Serrano Cano, Jamecia","Jenkins, Bradley",3
"Valle, Elena","Kaufman, Cody",2
"Lewis, Anisa","Garrett, Kayla",1
"Holdridge, Quade","Garrett, Kayla",1
"Cloud, Lauren","Pollock, Connor",1
"Brave, Howard","Pollock, Connor",1
"Cordova, Henry","Wall, Kayla",1
"Dittloff, Patrick","el-Ashraf, Humaira",1
"Williams, Kiara","el-Ashraf, Humaira",1
"Bell, Travon","el-Demian, Safwa",2
"Flores Diaz, Melissa","Teuton, Anasthasia",1
"Sandoval, Megan","Teuton, Anasthasia",2
"Fay, Paige","al-Farid, Haashid",2
"Lin, Kathleen","Hall, Whitney",2
"el-Jafari, Jannat","Berg, Shauntino",1
"el-Jafari, Jannat","Hall, Whitney",1
"el-Jafari, Jannat","Morris, Hanah",1
"Simmons, Quincy","el-Mousa, Atheer",4
"Kang, Mreenal","Cereceres, Taiyler",1
"Kennedy, Manulagaeu","Cereceres, Taiyler",1
"Mock, Geniveve","Barkey, Jayna",3
"el-Ashraf, Humaira","Mcdowell, Nicole",1
"Alvarez-Martinon, Jesenia","el-Ashraf, Humaira",1
"Hubbard, Philip","Murphy, Jacob",9
"Munnerlyn, Jacqulynn","Murphy, Jacob",4
"Allison, Garrett","Murphy, Jacob",2
"Scaggs, Christopher","Murphy, Jacob",2
"Mclaughlin, Matthew","Tusay, Megan",2
"Mclaughlin, Matthew","Colohan, Garrett",2
"Aguilera, Xavier","Brown, Bria",1
"Rickett, Matthew","Alvarez-Martinon, Heriberto",3
"Roseveare, Isaac","Dow Babycos, Sabrina",1
"Hopkins, Kiran","Chavarin, Alex",2
"Roberts, Jennifer","el-Hafeez, Rafeeda",1
"Smith, Alexis","Ironwing, Tristan",1
"Serrano Cano, Jamecia","Evans, Christian",2
"Enlow, Elizabeth","Serrano Cano, Jamecia",2
"Sewald, Jason","Kang, Mreenal",1
"Kang, Mreenal","Tsegay, Brandon",3
"Herrera, Heaven","Nguyen, Steven",2
"Thompson, Kyanna","Bird, Stephanie",1
"Rivera, Souvany","Hernandez-Mungia, Edgar",1
"Basinger, Andrew","Pak, Lauryn",1
"Lor, Sam","al-Odeh, Ayyoob",2
"Pak, Lauryn","al-Odeh, Ayyoob",1
"Davis, Charlotte","Okita, Mark",2
"Sims, Alexandrea","Smith, Julia",1
"Garcia, Ricardo","Gonzalez, Francisco",2
"Gustafson, Brandyn","Gonzalez, Francisco",1
"al-Abdelrahman, Mahdeeya","Hill, Alyssa",2
"Hill, Alyssa","Staples, Brian",2
"Castillo, Brenda","el-Majid, Shakoora",2
"Mandell, Ena","Gutierrez, Nancy",1
"Mandell, Ena","Allison, Garrett",1
"Lor, Janice","Mergerson, Ryvon",2
"Rife, Tyray","Wang, Guang",1
"Perez Jr, Francisco","Blanco, Ace",1
"Elam, Kiah","Blanco, Ace",1
"Larson, Jordan","Blanco, Ace",1
"Jackson, Shailah","Pham, Anh",2
"Pham, Anh","Steele, Vela",2
"Phillips, Austin","Steele, Vela",2
"Jackson, Shailah","Phillips, Austin",1
"Juan, Justin","Nguyen, Hanna",1
"Soto, Dashae","Yamashita, Emma",1
"Soto, Dashae","el-Omer, Mishaari",1
"el-Omer, Mishaari","Yamashita, Emma",1
"Lewis, Andrew","Coffman, Martin",1
"Rife, Tyray","Jackson, Sade",1
"Jackson, Sade","Barela-Sandoval, Nancy",1
"Rife, Tyray","Romero, Jessica",12
"Rife, Tyray","Barela-Sandoval, Nancy",1
"Shorty, Robert","Barela-Sandoval, Nancy",1
"Larson, Jordan","Abram, Haylee",1
"Bishop, Dominique","Larson, Jordan",3
"Blackburn, Marlon","Saddler, Mark",1
"Rocha, Benjamin","Hurst, Katelyn",1
"Dickinson, Chimi","Rodriguez, Alvaro",3
"Chipman, Jessica","Dickinson, Chimi",3
"Cohen-Wilson, Nataya","Torres, Che",3
"Jenkins, Bradley","Cohen-Wilson, Nataya",3
"Flores, Jesus","el-Kaiser, Sulama",1
"Trudell, Alek","Orgler, T'Aunsanae",1
"al-Obeid, Zulfa","el-Hashim, Shafee'a",1
"al-Hashmi, Hafsa","al-Obeid, Zulfa",1
"Wall, Kayla","Neal, Beauty",1
"Gonzalez, David","Hernandez, Alberto",1
"el-Hussain, Saalih","Hernandez, Gabriela",1
"Martin, Jared","Kuge, Batoul",1
"Etzenhouser, Payne","Ball, Jacob",1
"Blackbear, Naomi","el-Mostafa, Unais",1
"Smith, Amanda","el-Javid, Sabaaha",2
"Vasquez, Kelly","Mcdowell, Nicole",3
"Weed, Jackie","Mcdowell, Nicole",2
"Faulhaber, Skilah","Mcdowell, Nicole",2
"Faulhaber, Skilah","Brown, Krystal",1
"Wall, Kayla","Collins, Jordan",1
"Apted, Aayush","Collins, Jordan",1
"Champine, Cody","Scaggs, Christopher",1
"Sewald, Jason","Kim, Alimansar",2
"Long, Destiny","Blackwater, Jeremy",2
"Carrillo, Soledad","Barron, Kindra",1
"el-Omer, Mishaari","Lugenbeel, Fredlyn",1
"al-Zaki, Taqiyya","el-Omer, Mishaari",1
"el-Omer, Mishaari","Harrison, Kelley",6
"al-Zaki, Taqiyya","Lugenbeel, Fredlyn",1
"Estrada, Alexandrea","Fearce, Mario",2
"Hodges, Lamont","Cramer, Deanna",1
"el-Shahid, Maahir","Jenkins, Bradley",2
"Stodden, Kelsey","Nelson, Hannah",2
"Nelson, Hannah","Ironwing, Tristan",1
"Kijprachakorn, Weslie","Nelson, Hannah",2
"Durham, Adam","Tunnell, Alexah",1
"Mandell, Ena","Martinez, Eduardo",2
"Aguirre, Dominic","Robinson, Brianna",1
"Aguirre, Dominic","Belmont, Alex",1
"Trujillo, Brandon","Bailey, Jamee",1
"Rosser, Jay","Rickett, Matthew",1
"Ng, Shayla","Yamashita, Emma",1
"Jackson, Imani","al-Malak, Nahla",2
"Murphy, Jacob","Mercurio, Aaron",1
"Flores, Jesus","Jojola, Summer",1
"el-Younes, Ameena","el-Begum, Haaniya",1
"Thamert, Denver","el-Begum, Haaniya",1
"Kills In Sight, Braedon","Munnerlyn, Jacqulynn",2
"Archuleta, Benjamin","al-Minhas, Arafaat",1
"Puga-Garcia, Jorge","al-Minhas, Arafaat",1
"Nguyen, Ben","Dureja, Regina",3
"Becerra, Joshua","al-Ishmael, Radwa",4
"Chang, Julian","Holland, Ryan",1
"Stogsdill IV, Ethan","Holland, Ryan",1
"al-Tamer, Mawhiba","Zamora, Jesse",2
"Hall, Tracee","al-Tamer, Mawhiba",1
"Hall, Tracee","Rivera, Jakob",4
"Sloan, Taylor","al-Tamer, Mawhiba",1
"Sloan, Taylor","Zamora, Jesse",2
"Alaniz, Juan","Russell, Aaron",1
"Valdez, Angel","Russell, Aaron",1
"Ali, Lexus","el-Kaba, Nuzha",1
"Pham, Anh","Barron, Kindra",1
"Donaldson, Armani","Pham, Anh",1
"Pham, Anh","Doolittle, Annie",1
"Orona, Elario","Byrnes, Destinee",1
"al-Rahmani, Neeshaan","Leon, Jimmy",1
"Martinez, Alexandro","Leon, Jimmy",1
"Katamaneni, Emily","Martinez, Alexandro",1
"Montoya, Zachary","Molock-Sanders, Eustace",1
"Cerenil, Jerrica","Cly, Shawn",2
"el-Jama, Hafsa","Lynn, Angelo",1
"Dolson, Michael","King, Bin",2
"Davis, Charlotte","Snyder, Melissa",1
"Mandell, Ena","Snyder, Melissa",1
"Garrison, Brandon","al-Samaan, Ayyoob",1
"Rivera, Jakob","al-Samaan, Ayyoob",1
"Rhinehart, Eve","Woody, Angela",5
"Rhinehart, Eve","el-Khatib, Daamir",1
"al-Obeid, Zulfa","Whitebull-Delgado, Sunsiarae",1
"Bird, Stephanie","Ellis, Rito",1
"Bird, Stephanie","el-Hafeez, Rafeeda",2
"Ngu, Andrew","el-Hafeez, Rafeeda",2
"al-Matar, Ariyya","el-Hafeez, Rafeeda",2
"Guerrero-Argumedo, Brian","Son, Andrew",1
"Garnier, Leroy","Son, Andrew",1
"Dalke, Emily","al-Halim, Jawhar",2
"Gutierrez, Nancy","al-Halim, Jawhar",1
"Little, Benjamin","al-Halim, Jawhar",1
"Apodaca-Anaya, Quintina","al-Shahidi, Muneera",1
"Apodaca-Anaya, Quintina","Larry, Sirdushene",1
"al-Ashraf, Daleel","Cambigue, Keegan",1
"Reed, Ronisha","Nelson, Jonte",9
"Dow Babycos, Sabrina","Stepner, Dylan",2
"Sisneros, Jacob","Dutchie, Rowtinya",1
"Eang, Joshua","Jackson, Sade",1
"Vigil, Scheridan","Lor, Brendan",1
"Lor, Brendan","Eang, Joshua",1
"Eang, Joshua","Whitebull-Delgado, Sunsiarae",1
"Leist, Brooke","Carey, April",1
"al-Nasrallah, Sulaimaan","al-Farid, Muhyddeen",1
"al-Fadel, Zaahid","al-Nasrallah, Sulaimaan",2
"Reese, Jordyn","al-Nasrallah, Sulaimaan",1
"Sims, Alexandrea","al-Fadel, Zaahid",1
"al-Fadel, Zaahid","Reese, Jordyn",2
"Sims, Alexandrea","al-Farid, Muhyddeen",1
"Reese, Jordyn","al-Farid, Muhyddeen",1
"Champine, Cody","Warren, Brianna",1
"Serrano Cano, Jamecia","Sandoval, Ruben",1
"Bennett, Jared","Munnerlyn, Jacqulynn",1
"Tran, Johnny","Munnerlyn, Jacqulynn",2
"Perske, Harley","Slofkiss, Riley",8
"al-Minhas, Hamna","Slofkiss, Riley",2
"Massey, Tyler","al-Zaidi, Haniyya",2
"Chang, Julian","Hedberg, Jennifer",1
"el-Abdella, Kaarim","Sater, Aaneer",1
"Fredericks, Shalisha","Son, Xia",1
"Jacket, Brianna","Fredericks, Shalisha",1
"Nguyen, Michael","Mercurio, Aaron",1
"Aguilera, Xavier","Espinosa, Isabella",1
"Weincek, Zack","Swedell, Cassandra",1
"Weincek, Zack","Gonzales, Jessica",3
"Khatri, Jasmine","Davis, Keyonna",1
"Fransua, Meghan","Martinez, Maribel",1
"Monroy, Mayra","Houston, Gladys",1
"Miller, Michael","Felden, Kyle",2
"Akhtar, Steffany","Long, Destiny",1
"Smith, Tyler","Coffman, Kenaya",2
"Banuelos, Adriana","Coffman, Kenaya",1
"Coffman, Kenaya","Pfingsten, Chanthany",1
"Banuelos, Adriana","Pfingsten, Chanthany",1
"Caples, Luke","Coffman, Kenaya",1
"Banuelos, Adriana","Valdez, Angel",1
"el-Younes, Ameena","Holdridge, Quade",2
"Long, Destiny","Dimas, Andrea",6
"Trudell, Alek","Long, Destiny",1
"Kalma, Tess","De Giorgio, David",1
"Snyder, Steven","Kalma, Tess",1
"Long, Destiny","Kalma, Tess",2
"al-Kazi, Tahiyya","Garcia, Austin",1
"Gonzales, Jessica","Jojola, Summer",1
"An, William","Monroy, Mayra",4
"Monroy, Mayra","King, Bin",1
"Roseveare, Isaac","Rivera, Jakob",1
"Perry, Shay","Carson, Rhiannon",1
"Nguyen, Steven","Flores, Jesus",1
"Valle, Elena","Stebbins, Adel",1
"Flores, Jesus","el-Demian, Safwa",2
"Valle, Elena","el-Demian, Safwa",1
"al-Fadel, Zaahid","Garrett, Kayla",1
"Shelton, Tanner","Garrett, Kayla",1
"Fearce, Mario","Williams, Jared",1
"Chanthavongsa, Emily","Landucci, Ashley",3
"Brown, Mollie","Strasburger, Andrea",3
"Nobraid, Shawn","Landucci, Ashley",3
"Landucci, Ashley","Strasburger, Andrea",3
"el-Radwan, Hanaaa","Strasburger, Andrea",4
"al-Shakoor, Uqbah","Starr, Cameron",2
"Long, Destiny","Starr, Cameron",2
"Mccay, Colby","Salazar, Kanani",1
"Mcclain, Camry","Monroy, Mayra",1
"el-Rashed, Yusri","al-Hallal, Haani",1
"Sater, Aaneer","Lorenzo, Alessa",7
"Bass, Matias","Lorenzo, Alessa",2
"Phillips, Alexis","Castillo, Brenda",1
"Park, Ashleigh","Martinez, Kelsey",1
"Flores Benitez, Teresa","al-Hallal, Haani",1
"al-Omer, Faadi","al-Hallal, Haani",1
"Simmons, Quincy","Martinez, Kelsey",1
"Smith, Julia","Caruso, Kayla",2
"Roberts, Jennifer","Chang, Julian",1
"Nicks, Nicola","Fiddelke, Natalie",2
"Gonzalez, David","Simon, Kavita",1
"Qi, Ruth","O'Connor, Deidra",1
"Puga-Garcia, Jorge","Hall, Whitney",1
"Martinez, Kelsey","Hayes-Joshua, Trei'Vonne",1
"al-Karam, Faaiq","el-Bangura, Taqiyya",4
"Fernandez, Dameion","Cross, Levi",1
"Portillo, Justin","Cross, Levi",1
"el-Pasha, Abdul Baari","Portillo, Justin",2
"el-Pasha, Abdul Baari","Fernandez, Dameion",1
"Brown, Bria","Carey, April",1
"Cobarrubias, William","Brown, Bria",1
"Kang, Mreenal","Portillo, Justin",1
"Montoya, Zachary","el-Qazi, Hanoona",1
"Montoya, Zachary","Lopez, Fernando",5
"al-Shahidi, Muneera","Lopez, Fernando",1
"Houston, Gladys","el-Kaiser, Sulama",1
"Smith, Sterling","Dolson, Michael",1
"Smith, Sterling","Little, Benjamin",1
"Long, Destiny","Aragon, Adinidiin",1
"el-Hussain, Raaniya","Bell, Travon",1
"el-Tahir, Jawhar","el-Hussain, Raaniya",1
"Emert, Taylor","al-Darwish, Ibtisaama",1
"Emert, Taylor","el-Hussain, Raaniya",1
"Burns, Christopher","Nobraid, Shawn",2
"Thamert, Denver","Humrich, Zeriah",2
"Thamert, Denver","el-Abood, Hissa",1
"Thamert, Denver","Holland, Ryan",1
"Lynch, Christopher","al-Dawood, Shawqi",1
"Munnerlyn, Jacqulynn","Lynch, Christopher",1
"Tyler, Asia","el-Qazi, Hanoona",2
"Jojola, Summer","el-Qazi, Hanoona",1
"al-Shahidi, Muneera","Jojola, Summer",1
"Natonabah, Amber","Canada, Darian",4
"Lor, Sam","Jones, Cade",1
"Schlegel, Lindsey","Jones, Cade",1
"Meza, Alejandra","Lor, Sam",17
"Meza, Alejandra","Schlegel, Lindsey",1
"Olson, Christie","Jones, Cade",1
"Vannavong, Lara","Jones, Cade",1
"Meza, Alejandra","Vannavong, Lara",1
"Vannavong, Lara","Olson, Christie",1
"Chipman, Jessica","Romero, Jessica",6
"Simmons, Monique","Chavarin, Alex",2
"Clifton, Nico","Tunnell, Alexah",1
"Mccarty, Benjamin","al-Chahine, Raabiya",1
"Holdridge, Quade","el-Begum, Haaniya",2
"Burdick, Tysza","Monroy, Mayra",1
"Burdick, Tysza","Running-Rabbit, Michelle",1
"Chanthavongsa, Emily","Jordan, Shauntaul",1
"Kills In Sight, Braedon","Mock, Geniveve",1
"Landucci, Ashley","al-Nasrallah, Sulaimaan",1
"Jackson, Sade","White, Dominick",3
"Blackwater, Jeremy","al-Haidar, Nazmiyya",2
"Garcia, Ricardo","Molock-Sanders, Eustace",2
"el-Bangura, Taqiyya","Garcia, Ricardo",1
"An, William","Ellis, Chantel",1
"Ellis, Chantel","King, Bin",2
"Hodges, Lamont","Ellis, Chantel",1
"Hodges, Lamont","King, Bin",2
"Jun, Jacklyne","al-Minhas, Hamna",1
"Colohan, Garrett","el-Qazi, Hanoona",1
"al-Nouri, Firdaus","el-Firman, Ghaazi",1
"al-Minhas, Arafaat","Booker, Gregory",2
"Birkhead, Ji Young","Doyle, Elise",1
"Stevens, Dana","al-Nasrallah, Sulaimaan",1
"Soto, Ghibrian","el-Amara, Rawda",1
"Martinez, Maribel","Chavarin, Alex",1
"Cordova, Henry","Coffman, Martin",1
"Cordova, Henry","Little, James",1
"Cordova, Henry","al-Nassif, Haazim",1
"Rhinehart, Eve","Coffman, Martin",1
"Kikuchi, Nicole","Coffman, Martin",1
"Rhinehart, Eve","Kikuchi, Nicole",2
"Woody, Angela","Gall, Julie",1
"Shah, Nikki","Lenahan, Cante",2
"Shah, Nikki","Hut, Brandon",1
"Shah, Nikki","al-Ishmael, Radwa",2
"Nguyen, Ben","al-Ishmael, Radwa",1
"Lenahan, Cante","Holdridge, Quade",2
"Valdo, Brandi","Nguyen, Ben",1
"Hampton, Yeng","Valdez, Angel",1
